year,County,Type,Mean
1997,San Francisco,MSPSF,227.133175
1997,San Francisco,MT,221700
1997,San Francisco,MVSF,220.5
1997,San Francisco,SF,284791.666666667
1997,San Francisco,TT,333333.333333333
1997,San Mateo,2B,246818.229166667
1997,San Mateo,3B,312209.375
1997,San Mateo,4B,418965.625
1997,San Mateo,A,337201.041666667
1997,San Mateo,BT,161795.138888889
1997,San Mateo,DV,11.9518787878788
1997,San Mateo,IV,84.0290909090909
1997,San Mateo,MSP,352182.620764368
1997,San Mateo,MSPSF,213.599647305558
1997,San Mateo,MT,244681.25
1997,San Mateo,MVSF,209.046875
1997,San Mateo,SF,349304.166666667
1997,San Mateo,TT,406622.222222222
1998,Alameda,2B,189932.777777778
1998,Alameda,3B,267451.5625
1998,Alameda,4B,337749.479166667
1998,Alameda,A,256043.229166667
1998,Alameda,BT,151997.916666667
1998,Alameda,DV,9.25838541666667
1998,Alameda,FR,3.28206333333333
1998,Alameda,HF,2.23862739726027
1998,Alameda,IV,87.908125
1998,Alameda,MSP,221734.779324852
1998,Alameda,MSPSF,159.665803364618
1998,Alameda,MT,248255.208333333
1998,Alameda,MVSF,168.848958333333
1998,Alameda,SF,285222.395833333
1998,Alameda,SFG,98.024895212766
1998,Alameda,SFL,2.36080065789474
1998,Alameda,SPY,6.14864895833333
1998,Alameda,TT,419815.384615385
1998,Contra Costa,2B,185023.333333333
1998,Contra Costa,3B,252244.047619048
1998,Contra Costa,4B,317877.380952381
1998,Contra Costa,A,279762.5
1998,Contra Costa,BT,156127.916666667
1998,Contra Costa,DV,11.2966666666667
1998,Contra Costa,FR,6.7581324742268
1998,Contra Costa,HF,3.57556927083333
1998,Contra Costa,IV,84.51375
1998,Contra Costa,MSP,270509.697325103
1998,Contra Costa,MSPSF,147.177344156036
1998,Contra Costa,MT,281050.793650794
1998,Contra Costa,MVSF,148.19696969697
1998,Contra Costa,SF,292915.53030303
1998,Contra Costa,SFG,98.48557375
1998,Contra Costa,SFL,1.97906294117647
1998,Contra Costa,SPY,6.15136958333333
1998,Contra Costa,TT,394676.041666667
1998,Marin,2B,302420.454545455
1998,Marin,3B,367245.454545455
1998,Marin,4B,540922.222222222
1998,Marin,A,361220
1998,Marin,BT,139582.5
1998,Marin,DV,12.302375
1998,Marin,FR,1.78471034482759
1998,Marin,HF,1.33627096774194
1998,Marin,IV,83.768125
1998,Marin,MSP,401288.395683133
1998,Marin,MSPSF,235.280721845338
1998,Marin,MT,271563.333333333
1998,Marin,MVSF,210.766666666667
1998,Marin,SF,453335.555555556
1998,Marin,SFG,97.4528888888889
1998,Marin,SFL,3.28920793650794
1998,Marin,SPY,6.38076458333333
1998,Marin,TT,446078.409090909
1998,Napa,2B,275715.909090909
1998,Napa,3B,217311.363636364
1998,Napa,4B,446495.454545455
1998,Napa,A,232997.826086957
1998,Napa,BT,170119.35483871
1998,Napa,DV,38.1709090909091
1998,Napa,FR,6.82622941176471
1998,Napa,HF,3.09190434782609
1998,Napa,IV,56.7595454545455
1998,Napa,MSP,175455.85576875
1998,Napa,MSPSF,125.572557800388
1998,Napa,MT,210186.363636364
1998,Napa,MVSF,145
1998,Napa,SF,237304.347826087
1998,Napa,SFG,99.44466875
1998,Napa,SFL,0.83663
1998,Napa,SPY,4.16714583333333
1998,Napa,TT,439647.727272727
1998,Sacramento,2B,86557.4074074074
1998,Sacramento,3B,130536.538461538
1998,Sacramento,4B,179582.738095238
1998,Sacramento,A,143177.976190476
1998,Sacramento,BT,100795
1998,Sacramento,DV,17.9627380952381
1998,Sacramento,FR,11.4301837349398
1998,Sacramento,HF,6.92884226190476
1998,Sacramento,IV,73.4660714285714
1998,Sacramento,MSP,131321.471054545
1998,Sacramento,MSPSF,85.6970485867525
1998,Sacramento,MT,147225.757575758
1998,Sacramento,MVSF,84.6785714285714
1998,Sacramento,SF,157904.761904762
1998,Sacramento,SFG,98.5500402439024
1998,Sacramento,SFL,1.89829568965517
1998,Sacramento,SPY,5.628425
1998,Sacramento,TT,223870.422535211
1998,San Francisco,2B,317008.333333333
1998,San Francisco,3B,356933.333333333
1998,San Francisco,4B,404658.333333333
1998,San Francisco,A,323925
1998,San Francisco,BT,176750
1998,San Francisco,DV,4.23583333333333
1998,San Francisco,FR,1.00265
1998,San Francisco,HF,0.688241666666667
1998,San Francisco,IV,94.2941666666667
1998,San Francisco,MSP,326500
1998,San Francisco,MSPSF,261.928233333333
1998,San Francisco,MT,248583.333333333
1998,San Francisco,MVSF,251.416666666667
1998,San Francisco,SF,321033.333333333
1998,San Francisco,SFG,99.804625
1998,San Francisco,SFL,0.195375
1998,San Francisco,SPY,5.474275
1998,San Francisco,TT,385108.333333333
1998,San Mateo,2B,277230.729166667
1998,San Mateo,3B,355225
1998,San Mateo,4B,517465.789473684
1998,San Mateo,A,420227.604166667
1998,San Mateo,BT,181618.055555556
1998,San Mateo,DV,5.61861111111111
1998,San Mateo,FR,2.23631097560976
1998,San Mateo,HF,1.20265
1998,San Mateo,IV,92.1892777777778
1998,San Mateo,MSP,410858.487264535
1998,San Mateo,MSPSF,243.961044307247
1998,San Mateo,MT,274569.791666667
1998,San Mateo,MVSF,247.510416666667
1998,San Mateo,SF,435189.0625
1998,San Mateo,SFG,98.3196302857143
1998,San Mateo,SFL,2.23878083333333
1998,San Mateo,SPY,5.86579722222222
1998,San Mateo,TT,502884.269662921
1999,Alameda,2B,211057.777777778
1999,Alameda,3B,298254.6875
1999,Alameda,4B,379365.104166667
1999,Alameda,A,287947.395833333
1999,Alameda,BT,170233.333333333
1999,Alameda,DV,7.85895833333333
1999,Alameda,FR,2.26275547445255
1999,Alameda,HF,1.44127131147541
1999,Alameda,IV,89.9165625
1999,Alameda,MSP,251939.053084756
1999,Alameda,MSPSF,180.474641270403
1999,Alameda,MT,281146.354166667
1999,Alameda,MVSF,189.473958333333
1999,Alameda,SF,318526.5625
1999,Alameda,SFG,97.2759157068063
1999,Alameda,SFL,2.96749585798817
1999,Alameda,SPY,6.73940260416667
1999,Alameda,TT,471842.307692308
1999,Contra Costa,2B,206954.583333333
1999,Contra Costa,3B,282519.841269841
1999,Contra Costa,4B,357701.587301587
1999,Contra Costa,A,313889.393939394
1999,Contra Costa,BT,173417.916666667
1999,Contra Costa,DV,6.48620833333333
1999,Contra Costa,FR,4.39947318435754
1999,Contra Costa,HF,2.19845084745763
1999,Contra Costa,IV,91.1419166666667
1999,Contra Costa,MSP,294728.65869551
1999,Contra Costa,MSPSF,162.850862998864
1999,Contra Costa,MT,318231.349206349
1999,Contra Costa,MVSF,166.560606060606
1999,Contra Costa,SF,328871.96969697
1999,Contra Costa,SFG,98.6479828451883
1999,Contra Costa,SFL,1.70874034090909
1999,Contra Costa,SPY,6.65329208333333
1999,Contra Costa,TT,445868.75
1999,Marin,2B,386005.208333333
1999,Marin,3B,511601.041666667
1999,Marin,4B,672138.541666667
1999,Marin,A,515134.375
1999,Marin,BT,172033.333333333
1999,Marin,DV,6.43260416666667
1999,Marin,FR,1.35196071428571
1999,Marin,HF,0.90315
1999,Marin,IV,91.43375
1999,Marin,MSP,465732.68999186
1999,Marin,MSPSF,274.048282472404
1999,Marin,MT,330251.041666667
1999,Marin,MVSF,284.59375
1999,Marin,SF,571235.416666667
1999,Marin,SFG,96.7895056179775
1999,Marin,SFL,3.79279166666667
1999,Marin,SPY,6.70140833333333
1999,Marin,TT,606916.666666667
1999,Napa,2B,329237.5
1999,Napa,3B,249106.25
1999,Napa,4B,531041.666666667
1999,Napa,A,260714.583333333
1999,Napa,BT,186933.333333333
1999,Napa,DV,14.0983333333333
1999,Napa,FR,3.32157222222222
1999,Napa,HF,1.83720555555556
1999,Napa,IV,83.2641666666667
1999,Napa,MSP,194370.985672222
1999,Napa,MSPSF,137.144517250318
1999,Napa,MT,243618.75
1999,Napa,MVSF,164.416666666667
1999,Napa,SF,267602.083333333
1999,Napa,SFG,99.1914947368421
1999,Napa,SFL,1.28013333333333
1999,Napa,SPY,4.96665833333333
1999,Napa,TT,517025
1999,Sacramento,2B,91219.4444444444
1999,Sacramento,3B,139117.307692308
1999,Sacramento,4B,194410.714285714
1999,Sacramento,A,153114.285714286
1999,Sacramento,BT,106996.666666667
1999,Sacramento,DV,12.9904761904762
1999,Sacramento,FR,8.59740858895706
